,APMT,APMT,APMT,APMT,APMT,APMT,APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT
vesteu,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000
Terminal,,,,,,,,,,,,,,
APM Terminals Valencia,17.41638888888889,13.035277777777779,24.00027777777778,25.987222222222222,23.97611111111111,84.5025,,,,,,,,
APMT Maasvlakte I,21.0,8.000694444444445,9.95513888888889,26.021944444444443,27.458750000000002,39.98069444444444,36.03138888888889,,,,,,,
NTB North Sea Terminal Bremerhaven,2.9515277777777778,10.675833333333333,13.92861111111111,30.974166666666665,25.01888888888889,43.50888888888889,39.97888888888889,,,,,,,
Pelabuhan Tanjung Pelepas,9.442777777777778,21.962222222222223,15.975277777777778,19.04611111111111,21.108333333333334,25.016527777777778,28.993055555555557,,,,,,,
APMT Algeciras,7.674444444444444,16.058333333333334,15.95,18.95277777777778,21.999166666666667,19.9175,21.038888888888888,,,,,,,
APMT Yokohama,3.999861111111111,3.0355555555555553,7.026111111111111,9.000555555555556,10.001111111111111,9.014166666666666,11.024444444444445,,,,,,,
Container Terminal 1,,,,,,,,13.063472222222224,17.869999999999997,19.85,30.975277777777777,19.976805555555558,17.010694444444447,32.492916666666666
Westport Container Terminal,,,,,,,,12.900277777777777,11.000972222222222,15.018888888888888,13.969166666666666,22.060277777777777,27.1,45.95111111111111
Qingdao Qianwan Container Terminal (Phases 1-3),,,,,,,,26.111666666666665,11.996527777777779,12.35,15.00388888888889,18.9,23.95777777777778,35.00333333333333
Pasir Panjang Terminal,,,,,,,,7.0616666666666665,16.948611111111113,17.913888888888888,17.949305555555554,24.992083333333333,27.00027777777778,29.07611111111111
KEC Busan Container Terminal (KBCT),,,,,,,,8.999861111111112,15.9975,19.0,27.950694444444444,,,
Waigaoqiao Phase 4-6,,,,,,,,10.70138888888889,9.955277777777777,11.077083333333334,12.906527777777779,14.500555555555556,,
