,APMT,APMT,APMT,APMT,APMT,APMT,APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT
vesteu,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000
Terminal,,,,,,,,,,,,,,
Pelabuhan Tanjung Pelepas,0.5841121495327103,0.009345794392523364,7.359813084112149,2.2570093457943927,1.0186915887850467,0.205607476635514,0.9392523364485982,,,,,,,
APMT Yokohama,0.7383177570093458,1.4906542056074767,3.042056074766355,0.40654205607476634,0.5841121495327103,0.17289719626168223,0.004672897196261682,,,,,,,
APMT Algeciras,1.911214953271028,1.144859813084112,1.2009345794392523,1.4299065420560748,0.5186915887850467,0.06074766355140187,0.1588785046728972,,,,,,,
APMT Maasvlakte I,0.6682242990654206,1.7476635514018692,1.411214953271028,0.42990654205607476,0.17757009345794392,0.04672897196261682,0.04205607476635514,,,,,,,
NTB North Sea Terminal Bremerhaven,0.04672897196261682,1.0046728971962617,1.97196261682243,0.4158878504672897,0.07009345794392523,0.04672897196261682,0.37850467289719625,,,,,,,
APM Terminals Valencia,1.658878504672897,0.5887850467289719,0.7336448598130841,0.5280373831775701,0.18691588785046728,0.102803738317757,0.0,,,,,,,
Pasir Panjang Terminal,,,,,,,,17.64018691588785,1.8504672897196262,14.004672897196262,6.728971962616822,3.710280373831776,3.0093457943925235,1.7757009345794392
Westport Container Terminal,,,,,,,,1.5841121495327102,1.925233644859813,9.74766355140187,3.967289719626168,0.6915887850467289,0.5934579439252337,0.29439252336448596
Waigaoqiao Phase 4-6,,,,,,,,1.3130841121495327,2.8457943925233646,11.841121495327103,2.2710280373831777,0.24299065420560748,0.0,0.0
Qingdao Qianwan Container Terminal (Phases 1-3),,,,,,,,1.5981308411214954,1.4953271028037383,5.658878504672897,1.7897196261682242,0.897196261682243,0.40186915887850466,0.5
KEC Busan Container Terminal (KBCT),,,,,,,,2.8130841121495327,4.864485981308412,3.2850467289719627,0.18691588785046728,0.0,0.0,0.0
Container Terminal 1,,,,,,,,4.953271028037383,1.9626168224299065,2.9766355140186915,0.6588785046728972,0.205607476635514,0.09345794392523364,0.018691588785046728
