imo,vesteu
5056133,0-250
5423623,0-250
7221275,0-250
7924401,0-250
8405878,0-250
8508400,0-250
8513314,0-250
8518297,0-250
8519239,0-250
8709767,0-250
8713653,0-250
8801072,0-250
8813972,0-250
8815786,0-250
8821814,0-250
8871625,0-250
8912039,0-250
8913411,1000-4000
8913423,1000-4000
8913447,1000-4000
8917778,1000-4000
8918966,1000-4000
8918978,1000-4000
8918980,1000-4000
9013660,0-250
9015448,0-250
9017379,0-250
9017422,0-250
9036002,4000-8000
9038397,0-250
9041320,0-250
9057329,0-250
9060493,0-250
9060675,0-250
9060687,0-250
9064906,0-250
9066045,0-250
9071557,0-250
9074042,4000-8000
9080675,0-250
9085546,8000-12000
9087350,0-250
9087362,0-250
9087374,0-250
9106912,0-250
9106924,0-250
9107394,250-1000
9108063,250-1000
9112870,0-250
9113721,250-1000
9114787,250-1000
9115987,0-250
9116199,250-1000
9117117,0-250
9117208,0-250
9121998,0-250
9122007,0-250
9125645,0-250
9125657,0-250
9126687,0-250
9126912,0-250
9129469,250-1000
9130432,250-1000
9131993,0-250
9135638,1000-4000
9137296,0-250
9138305,1000-4000
9138757,0-250
9141118,250-1000
9142643,0-250
9143415,0-250
9143805,0-250
9143829,250-1000
9145542,0-250
9147461,0-250
9147710,0-250
9148180,0-250
9148192,0-250
9148453,0-250
9148958,0-250
9149885,1000-4000
9150511,0-250
9150535,0-250
9153850,4000-8000
9153862,4000-8000
9156101,0-250
9156175,0-250
9156187,0-250
9156199,0-250
9157002,0-250
9158109,0-250
9162215,4000-8000
9162227,4000-8000
9163192,1000-4000
9164562,250-1000
9167344,0-250
9167978,0-250
9169122,1000-4000
9171060,0-250
9171101,0-250
9173329,250-1000
9178446,0-250
9180358,0-250
9180853,0-250
9181651,4000-8000
9181675,4000-8000
9182954,0-250
9182978,0-250
9183427,250-1000
9186405,250-1000
9186780,0-250
9187136,0-250
9188506,250-1000
9188518,250-1000
9188958,0-250
9190353,0-250
9191175,0-250
9191747,0-250
9192129,0-250
9193264,4000-8000
9193288,4000-8000
9193317,4000-8000
9194309,0-250
9194311,0-250
9195468,0-250
9195547,0-250
9195559,0-250
9196187,0-250
9196852,4000-8000
9196943,250-1000
9197375,1000-4000
9197545,4000-8000
9197777,0-250
9197791,0-250
9198458,0-250
9199696,0-250
9200677,4000-8000
9200691,4000-8000
9202077,250-1000
9202510,1000-4000
9202534,1000-4000
9202558,1000-4000
9205158,0-250
9206774,0-250
9210098,1000-4000
9211482,4000-8000
9213600,0-250
9215311,4000-8000
9217618,0-250
9219862,250-1000
9220897,1000-4000
9221815,4000-8000
9221827,4000-8000
9221839,4000-8000
9222273,4000-8000
9222429,0-250
9223904,250-1000
9224049,1000-4000
9224300,4000-8000
9224348,4000-8000
9225665,4000-8000
9226188,0-250
9226372,250-1000
9226918,4000-8000
9226920,4000-8000
9227039,4000-8000
9227297,4000-8000
9227302,4000-8000
9227314,4000-8000
9227338,4000-8000
9227340,4000-8000
9229312,4000-8000
9229336,4000-8000
9229348,4000-8000
9229532,0-250
9230490,4000-8000
9231092,1000-4000
9231248,4000-8000
9231846,250-1000
9232644,1000-4000
9232890,4000-8000
9233454,0-250
